batch	source	row	slug	name	category	confidence	evidence
first-100	agents	47	electric	electric	tool	medium	Sync infrastructure positioned for agent platforms.
first-100	agents	48	claurst	Claurst	harness	high	Rust rewrite of Claude Code architecture.
first-100	agents	49	yeoman	Yeoman	tool	high	Traditional development workflow automation toolkit.
first-100	agents	50	codex-security	Codex Security	harness	high	Runs Codex over a repo to find, validate, and patch security issues.
first-100	agents	51	agent-orchestrator-ao	Agent Orchestrator (AO)	multiplexer	high	Supervises many coding agents in parallel.
first-100	agents	52	inkos	InkOS	something-else	high	Autonomous novel-writing agent, not software development.
first-100	agents	53	omnigent	Omnigent	multiplexer	high	Meta-harness over Claude Code, Codex, Cursor, OpenCode, Hermes, Kiro, and Pi.
first-100	agents	54	praisonai	PraisonAI	tool	high	Low-code multi-agent framework built around AutoGen and CrewAI.
first-100	agents	55	graphql-playground	Graphql-Playground	tool	high	GraphQL IDE/developer tool.
first-100	agents	56	typechat	TypeChat	tool	high	Schema-engineering library for natural language interfaces.
first-100	agents	57	claude-squad	Claude Squad	multiplexer	high	tmux harness for side-by-side Claude Code sessions.
first-100	agents	58	flue	Flue	tool	medium	Sandbox agent framework rather than a coding loop.
first-100	agents	59	claude-agent-sdk-python	Claude Agent SDK (Python)	tool	high	SDK for building agents on the Claude Code loop.
first-100	agents	60	finrobot	FinRobot	something-else	high	Financial analysis agent platform.
first-100	agents	61	ai-dev-tasks	ai-dev-tasks	tool	high	Task management system for AI development agents.
first-100	agents	62	deepsec	deepsec	tool	high	Agent-powered vulnerability scanner.
first-100	agents	63	yao	yao	multiplexer	high	Workspace for agents and tasks across devices.
first-100	agents	64	sweep	Sweep	harness	high	Transforms GitHub issues into pull requests.
first-100	agents	65	code2prompt	Code2Prompt	tool	high	Codebase-to-prompt conversion CLI.
first-100	agents	66	swarms	Swarms	tool	high	General multi-agent collaboration framework.
first-100	agents	67	glm-5	GLM-5	something-else	high	Model entry, not a harness or tool.
first-100	agents	68	gpt-migrate	GPT Migrate	harness	medium	Codebase migration agent that generates and tests migrated software.
first-100	agents	69	strands-agents-sdk	Strands Agents SDK	tool	high	SDK for building AI agents.
first-100	agents	70	appagent	AppAgent	something-else	high	Mobile app operation agent, not software creation/modification.
first-100	gap_report	1	google-ai-studio-build	Google AI Studio Build	harness	high	Full-stack vibe-coding product with Antigravity agent and Firebase.
first-100	gap_report	2	google-opal	Google Opal	harness	medium	No-code mini-app builder that chains prompts into shareable apps.
first-100	gap_report	3	aws-transform	AWS Transform	harness	high	Agentic modernization for .NET, mainframe, and VMware codebases.
first-100	gap_report	4	xcode-coding-intelligence	Xcode Coding Intelligence	harness	high	IDE-integrated coding agent with ChatGPT and Claude backends.
first-100	gap_report	5	rovo-dev	Rovo Dev	harness	high	CLI coding agent with Jira and Bitbucket integration.
first-100	gap_report	6	agentforce-for-developers	Agentforce for Developers	harness	high	AI coding agent for Apex and Salesforce development.
first-100	gap_report	7	sap-joule-for-developers	SAP Joule for Developers	harness	medium	Developer agents for ABAP and SAP Build Code.
first-100	gap_report	8	oracle-code-assist	Oracle Code Assist	tool	medium	Enterprise coding assistant; own agentic loop not established in source row.
first-100	gap_report	9	databricks-assistant	Databricks Assistant	tool	medium	Assistant for notebooks, SQL, and pipelines; own loop not established in source row.
first-100	gap_report	10	netlify-ai	Netlify AI	harness	high	Agent Runners build and deploy web apps from prompts.
first-100	gap_report	11	doubao-marscode	Doubao MarsCode	harness	medium	Cloud IDE/AI assistant folded into Trae coding-agent brand.
first-100	gap_report	12	iflow-cli	iFlow CLI	harness	high	Terminal coding agent.
first-100	gap_report	13	baidu-comate	Baidu Comate	harness	medium	AI coding assistant with Zulu agent.
first-100	gap_report	14	raccoon-code	Raccoon Code	tool	medium	Code assistant; own agentic loop not established in source row.
first-100	gap_report	15	codegeex	CodeGeeX	tool	high	Multilingual coding assistant/open-source core, not clearly agentic.
first-100	gap_report	16	minimax-agent	MiniMax Agent	harness	high	Builds and deploys full-stack web apps from prompts.
first-100	gap_report	17	youware	Youware	harness	high	Vibe-coding web app/site builder.
first-100	gap_report	18	trickle	Trickle	harness	high	AI website/app builder with agent workflow.
first-100	gap_report	19	blitzy	Blitzy	harness	high	Batch autonomous engineering platform.
first-100	gap_report	20	charlie-labs	Charlie Labs	harness	high	GitHub-native AI engineer for issues-to-PRs.
first-100	gap_report	21	tembo	Tembo	harness	high	Production-error-to-PR autonomous development agent.
first-100	gap_report	22	gitar	Gitar	harness	high	Code-change automation agents for migrations, cleanup, and PRs.
first-100	gap_report	23	solver	Solver	harness	high	Repo-native autonomous software engineering platform.
first-100	gap_report	24	ona	Ona	harness	high	Parallel cloud software engineering agents.
first-100	gap_report	25	niteshift	Niteshift	tool	medium	Full-stack cloud/infrastructure for coding agents.
first-100	gap_report	26	8090	8090	harness	high	Spec-to-deploy AI-native software platform.
first-100	gap_report	27	code-metal	Code Metal	harness	medium	AI code translation for software systems.
first-100	gap_report	28	fume	Fume	harness	high	AI software engineer that fixes bugs from Sentry or Slack.
first-100	gap_report	29	bismuth	Bismuth	harness	high	Autonomously finds and fixes bugs.
first-100	gap_report	30	pythagora	Pythagora	harness	high	All-in-one AI development platform with GPT Pilot core.
