name	url	description
JoyCode	https://joycode.jd.com/	JD.com's AI-integrated development environment. Deeply integrates with JD Cloud's JoyAgent ecosystem. Supports custom rules, MCP protocol extensions, and multi-source AI resource references. Natural language programming where AI auto-generates code from descriptions.
JoyCoder	https://docs.jdcloud.com/cn/joycoder/product-overview	JD Cloud's AI coding assistant based on LLMs. Compatible with JetBrains, VSCode, and other IDEs. Code prediction/completion, comment-to-code, unit test generation, API documentation, AI code review, code explanation, error analysis, UI sketch-to-frontend code, security vulnerability identification and auto-fix, intelligent Q&A. Multi-model switching.
JoyCode-Agent	https://github.com/jd-opensource/joycode-agent	JD's open-source intelligent coding agent. 74.6% pass rate on SWE-Bench Verified (Top 3 globally). Functions as JoyCode's built-in agent: autonomously analyzes requirements, plans tasks, reads project directories, writes code, and generates terminal commands.
JoyAgent 3.0	https://blog.csdn.net/bagell/article/details/155131113	JD Cloud's intelligent agent platform. Works with JoyCode 2.0 as part of the Agent+Coding AI development paradigm. Enables closed-loop where Agent simplifies code and code feeds back into Agent.
CatPaw	https://catpaw.meituan.com/	Meituan's self-developed AI IDE with Agent+human collaboration concept. Code completion, quick Q&A code generation, built-in preview/debugging, project-level analysis. Supports Python, Java, JavaScript. Integrates Meituan's LongCat large model with multi-model mixed calling. Competitor to Cursor; primarily used internally.
NoCode	Meituan (no direct URL found)	Meituan's first AI Coding Agent product (launched June 2026). Branded as Vibe Coding. Zero-code development tool for small/medium merchants to quickly build websites. AI intelligent programming, visual editing, one-click Edge Runtime publishing, SEO optimization, and data analysis.
MiMo Code	https://github.com/XiaomiMiMo/MiMo-Code	Xiaomi's open-source terminal coding agent with interactive and headless modes, repository tools, skills, hooks, and worktree support. MIT license. Already in main dataset.
CodeGeeX	https://github.com/zai-org/CodeGeeX	Open-source multilingual AI coding assistant by Tsinghua THUDM Lab and Zhipu AI. 13B parameter model pretrained on 850B+ tokens across 20+ programming languages. Code generation, completion, translation, commenting, bug fixing, repo-level Q&A, unit test generation. Free, supports offline/local private deployment (6G VRAM). Ensures code privacy.
CodeGeeX4	https://github.com/zai-org/CodeGeeX4	Latest version of CodeGeeX open-source coding assistant by Zhipu AI. Updated model and capabilities.
GLM Coding Plan	Zhipu AI (no direct URL found)	Zhipu AI's coding subscription offering. Mentioned in subscription comparison alongside Claude Max, ChatGPT Pro, and Cursor. Integrable with Claude Code/Codex via GLM models.
Kimi Code CLI	https://github.com/MoonshotAI/kimi-cli	Moonshot AI's open-source terminal coding agent. Repository tools, skills, MCP support, and IDE connectivity through ACP. Powered by Kimi K3 with up to 1M context. Already in main dataset.
DeepSeek Coder	https://api-docs.deepseek.com/	DeepSeek's open-source code model API with open weights for local deployment. Lowest-cost API option. DeepSeek-V4-Flash at $0.14/M input tokens (1M context); Coder 7B deployable locally. Best for custom AI coding pipelines, batch processing, and on-premises compliance scenarios.
MonkeyCode	https://github.com/chaitin/MonkeyCode	AI coding platform for teams by Chaitin. Chinese-optimized, strong code understanding, team collaboration management. Already in main dataset.
DeerFlow	https://github.com/bytedance/deer-flow	ByteDance's open-source long-horizon super-agent harness orchestrating sub-agents, skills, memory, and sandboxes. Terminal workbench (TUI) plus web UI. Already in main dataset.
ChatDev	https://github.com/OpenBMB/ChatDev	OpenBMB/Tsinghua's virtual software company driven by intelligent agents assuming roles (CEO, CTO, programmer, reviewer, tester). Collaborative software development. Already in main dataset.
AgentScope	https://github.com/modelscope/agentscope	Alibaba/ModelScope's open-source framework for building LLM-empowered multi-agent applications. Already in main dataset.
OpenCodeReview	https://github.com/alibaba/open-code-review	Alibaba's open-source AI code review CLI (ocr) that reviews working-tree, branch, or commit diffs. Delegation mode to Claude Code, Codex, Cursor, or OpenCode. Already in main dataset.
Qwen-Agent	https://github.com/QwenLM/Qwen-Agent	Alibaba's open-source agent framework built upon Qwen>=3.0. Function Calling, MCP, Code Interpreter, RAG, Chrome extension. Already in main dataset.
PaiAgent	https://github.com/itwanger/PaiAgent	Lightweight AI workflow orchestration system similar to Dify/n8n, built using Vibe Coding with Qoder+CLI. SpringAI, LangGraph4J, SSE, MinIO, DAG engine. Already in main dataset.
loushang	https://github.com/zhnt/loushang	AI-native agent harness for coding workflows. Multi-model LLM orchestration, stateful sessions, tool governance, traceable delivery. Supports GPT, Claude, DeepSeek, Qwen, Kimi, GLM, MiniMax. Already in main dataset.
