name	maker	license	url	source_code_url	what_makes_it_special	platforms	first_released	current_release
Phind			https://www.phind.com/			404 - site not available		
Amp	Sourcegraph	Proprietary	https://sourcegraph.com/amp		Amp is a frontier AI agent that runs on the web, in your terminal, and on your phone, with threads executing in "orbs" — remote machines that keep working even when your laptop is closed. It is tuned for speed and responsiveness on large threads and is extensible via plugins.	Web; Terminal (Mac/Linux/WSL, Windows, Homebrew); Phone		
Junie	JetBrains s.r.o.	Proprietary	https://junie.jetbrains.com	https://github.com/JetBrains/junie	Junie is an AI coding agent powered by the IntelliJ IDEA Engine that works with any model you choose via Bring Your Own Key (BYOK). It features advanced plan mode, live prompting to steer the agent mid-task, remote control for asynchronous execution, and persistent custom guidelines.	macOS; Linux; Windows; JetBrains IDEs; GitHub Actions; GitLab CI/CD		
Cortex Code CLI	Snowflake	Proprietary	https://www.snowflake.com/en/product/cortex-code-cli		Cortex Code CLI (CoCo CLI) is Snowflake's AI coding agent for local development that lets you interact with Snowflake using natural-language requests. It orchestrates Snowflake-native skills and MCP tools to discover catalog objects, generate and run SQL, build Streamlit or dbt applications, and work with Cortex Analyst semantic models.	macOS (arm64, x64); Linux (x64, arm64); Windows WSL; Windows Native	2025-11	2026-02 (dbt/Airflow GA)
Antigravity CLI	Google	Proprietary	https://antigravity.google		Google Antigravity is an agentic development platform for the agent-first era, providing a command center to manage multiple local agents in parallel. It features a suite of tools including an IDE, CLI, and SDK to help developers build production-ready applications and prototype custom agents.	macOS (Apple Silicon, Intel)		Antigravity 2.0
Kimi CLI	Moonshot AI	Proprietary	https://kimi.ai		Kimi is a multifaceted AI assistant and agent platform that extends beyond basic chat with built-in capabilities for deep research, scheduled tasks, agent swarms, and direct generation of diverse content formats including slides, websites, docs, and sheets.	Web; Mobile		
Replit Agent	Replit Inc.	Proprietary	https://replit.com/		Replit turns ideas into apps in minutes without coding by using AI to write production-ready code. It utilizes parallel AI agents that run tasks together to handle design, authentication, and database setup seamlessly while keeping progress visible.	Web		Agent 4
Lovable	Lovable	Proprietary	https://lovable.dev/		Lovable is an AI app builder that lets you describe what you want in plain language and builds production-grade software in real time. It handles end-to-end infrastructure including hosting, authentication, payments, and integrations, with deployment across web, desktop, and mobile.	Web; Desktop; Mobile		
Trae	ByteDance	Proprietary	https://www.trae.ai/		TRAE offers two distinct tools: TraeWork, a professional AI work assistant, and TraeCode, an AI coding engineer designed to boost coding efficiency by 10x.	Desktop; Web		
Zed	Zed Industries	Open-source	https://zed.dev/	https://github.com/zed-industries/zed	Zed is a high-performance code editor written from scratch in Rust that leverages multiple CPU cores and the GPU for exceptional performance. It natively integrates agentic AI editing and real-time multiplayer collaboration features.	macOS; Linux; Windows		
Warp	Warp	Open-source	https://www.warp.dev/	https://github.com/warpdotdev/warp	Warp is an open agentic development platform that combines an AI-assisted terminal, a powerful coding agent CLI, and cloud-based "Factories" for running fleets of coding agents across the SDLC. It supports any model, harness, or inference provider while letting users own their data.	macOS (10.14+); Linux (.deb, .rpm, AppImage, .tar.zst); Windows (11/10, x64 & ARM64)		
